Speaker,Vowel,context,F1,F2,F3,F1_glide,F2_glide,F3_glide
1,a,https://youtu.be/Z-eA395X__A?feature=shared,715.147431,1523.963569,,,,
1,a,https://youtu.be/Z-eA395X__A?feature=shared,532.794208,1459.36994,,,,
1,a,https://youtu.be/Z-eA395X__A?feature=shared,619.181078,1508.554135,,,,
1,a,https://youtu.be/Z-eA395X__A?feature=shared,619.746911,1481.800062,,,,
1,a,https://youtu.be/Z-eA395X__A?feature=shared,553.234104,1719.49231,,,,
1,e,https://youtu.be/Z-eA395X__A?feature=shared,443.825523,1816.283323,,,,
1,e,https://youtu.be/Z-eA395X__A?feature=shared,358.926614,1632.730896,,,,
1,e,https://youtu.be/Z-eA395X__A?feature=shared,381.270597,1931.530817,,,,
1,e,https://youtu.be/Z-eA395X__A?feature=shared,407.149369,1796.079174,,,,
1,e,https://youtu.be/Z-eA395X__A?feature=shared,444.487911,1774.54594,,,,
1,i,https://youtu.be/Z-eA395X__A?feature=shared,315.171174,2511.522263,,,,
1,i,https://youtu.be/Z-eA395X__A?feature=shared,348.539153,2064.799005,,,,
1,i,https://youtu.be/Z-eA395X__A?feature=shared,276.602251,2664.293016,,,,
1,i,https://youtu.be/Z-eA395X__A?feature=shared,292.577269,2428.651181,,,,
1,i,https://youtu.be/Z-eA395X__A?feature=shared,339.083057,2136.568383,,,,
1,o,https://youtu.be/Z-eA395X__A?feature=shared,458.934251,1139.979881,,,,
1,o,https://youtu.be/Z-eA395X__A?feature=shared,376.377549,1017.231575,,,,
1,o,https://youtu.be/Z-eA395X__A?feature=shared,472.836042,853.191503,,,,
1,o,https://youtu.be/Z-eA395X__A?feature=shared,484.465604,819.035042,,,,
1,o,https://youtu.be/Z-eA395X__A?feature=shared,523.020561,1131.172348,,,,
1,u,https://youtu.be/Z-eA395X__A?feature=shared,362.684849,793.314995,,,,
1,u,https://youtu.be/Z-eA395X__A?feature=shared,323.348769,797.414677,,,,
1,u,https://youtu.be/Z-eA395X__A?feature=shared,421.534711,911.075776,,,,
1,u,https://youtu.be/Z-eA395X__A?feature=shared,469.045912,882.570816,,,,
1,u,https://youtu.be/Z-eA395X__A?feature=shared,336.094729,1052.05696,,,,